class,feature029,feature046,feature060,feature062,feature064,feature065,feature066,feature068,feature097,feature104,feature125,feature170,feature268,feature332,feature342,feature442,feature511,feature563
X0,61.6222,127.1691,19.8,10.7269,19.4236,20.2,28.6955,0.852,-0.0927,-0.0074,15.83,0.407,0.0286,0.077,3.0385,0.8007,53.6913,262.2
X0,69.9333,126.18,0.3764,10.7052,14.6145,19.6236,24.847,1.0203,-0.0903,-0.0052,15.8,0.359,0.0993,0.0529,1.4101,1.148,69.0647,243.316
X0,68.3111,142.58,-0.2491,10.3098,10.5845,20.2491,24.1601,1.4068,0.1548,-0.0091,15.8,0.823,0.0752,0.084,1.6829,0.4782,75.0345,264.272
X0,72.7556,141.7309,-3.88,10.5987,18.4936,23.88,32.1774,0.9203,0.6382,-0.0122,15.73,0.779,0.0461,0.0315,2.05,0.6268,36.999,264.272
X0,61.2556,129.4245,28.1191,10.1555,13.0754,11.8809,18.6476,0.9717,0.0624,-0.0049,15.74,0.264,0.06,0.0538,1.5086,0.4221,122.7621,259.98
X0,74.1,144.7291,-3.4391,10.3302,9.054,23.4391,28.2662,0.8268,-0.2731,-0.0113,15.77,0.689,0.0358,0.0863,1.0188,0.7852,49.4481,263.144
X0,69.8,135.22,-0.1545,10.6066,16.9064,20.1545,26.8979,1.0925,0.1104,-0.0164,15.73,0.651,0.0934,0.0381,2.3749,0.6815,21.3577,250.206
X0,65.3,127.5545,-11.2182,10.9927,31.3127,31.2182,39.6995,1.0223,-0.0025,-0.0058,15.73,0.402,0.0749,0.0724,1.9708,1.2364,65.2361,262.484
X0,70.2222,137.3291,-2.6655,10.5644,12.7551,22.6655,28.1985,0.9145,-0.1386,-0.009,15.95,0.109,0.0304,0.0764,2.2718,0.5836,72.2222,252.85
X0,68.1444,142.7727,-2.1173,10.2819,12.2382,22.1173,27.0478,1.1049,0.1031,-0.0094,15.63,0.407,0.1,0.1071,2.8862,0.6927,48.1283,264.272
X0,66.7,159.8082,10.0236,9.6424,13.1382,29.9764,38.1045,1.0047,0.1894,-0.0062,15.72,0.452,0.0862,0.0964,3.8452,0.9794,60.1626,262.684
X0,72.3556,125.1636,22.4673,10.0941,16.5763,21.38,32.5683,0.9463,0,-0.0094,15.71,0.492,0.0743,0.0621,1.161,1.0216,36.3151,268.006
X0,67.0556,129.45,4.4455,10.4475,14.7982,15.5545,21.9164,1.0287,0.1526,-0.0096,15.74,0.149,0.0307,0.0263,2.082,1.1248,66.8407,253.164
X0,71.1889,144.3618,-9.4318,10.4425,11.6495,29.4318,35.4979,0.8745,0.0646,-0.0116,15.71,0.802,0.0665,0.0832,2.2195,0.8934,37.149,278.598
X0,68.6111,137.3782,-3.1255,10.3855,14.3518,23.1255,30.4987,0.9259,0.2404,-0.0129,15.71,0.651,0.1041,0.1088,1.8023,0.9332,20.9709,264.272
X0,74,130.3991,3.9527,10.5269,8.8717,16.0473,18.7066,1.0944,0,-0.0115,15.73,0.557,0.044,0.0834,0.9431,0.713,35.5363,269.176
X0,65.0778,144.2682,-2.6355,10.2189,18.5573,22.6355,34.0617,0.7936,0.0289,-0.0103,15.74,0.603,0.0648,0.1062,2.922,0.9163,51.5188,248.962
X0,67.8222,139.66,-13.1245,10.6763,31.7364,33.1245,43.9105,1.0478,-0.1612,-0.0052,15.77,0.092,0.1179,0.0793,1.2781,1.148,126.9231,264.272
X0,70.2556,142.48,0.67,10.3573,7.4813,19.33,23.9156,0.8595,0.183,-0.0119,16.08,0.677,0.0321,0.0864,1.8288,0.647,60.5042,253.614
X0,70.4111,149.22,-1.93,9.7777,13.3573,21.93,29.6185,0.9049,-0.4105,-0.0142,15.95,0.134,0.0357,0.0855,2.0296,0.9193,39.3327,250.438
X0,64,156.84,9.3336,9.7936,19.9972,30.6664,41.5043,0.8549,-0.048,-0.0092,15.87,0.3,0.0712,0.0366,3.8128,0.7898,39.2906,264.188
X0,68.6,140.1591,1.1682,10.3411,14.4718,18.8318,26.8972,0.8983,0.0211,-0.0118,15.9,0.496,0.0384,0.0848,2.0335,1.0393,56.5998,264.272
X0,67.0889,135.3245,2.0064,10.5186,11.3735,17.9936,21.0027,1.0363,0.0025,-0.0144,15.85,0.107,0.0806,0.0873,2.3098,0.6576,20.8514,265.212
X0,67.9111,143.3618,-0.8891,10.2897,9.5504,20.8891,26.9872,0.9698,0.3139,-0.0129,15.87,0.436,0.0668,0.027,2.8564,0.7445,44.9612,246.874
X0,70.7556,136.8773,-2.6364,10.4396,8.6795,22.6364,27.717,0.8878,0.2865,-0.0098,15.7,0.529,0.075,0.1112,1.6556,0.9359,52.1739,257.296
X0,65.0444,143.8927,-7.5382,10.4503,21.0082,27.5382,36.8645,1.0375,-0.0284,-0.0071,15.78,0.43,0.0875,0.0938,1.5908,0.7574,66.4311,260.72
X0,70.2,149.1491,-5.3355,10.0312,13.3228,25.3355,32.4414,1.1709,-0.2762,-0.0093,15.75,0.392,0.0679,0.0254,2.7721,1.1525,74.3935,267.316
X0,74.9556,150.9391,-5.2427,10.2645,21.8591,25.2427,32.4059,1.0641,0.0022,-0.0118,15.84,0.533,0.0226,0.0452,3.5801,0.9136,34.8936,271.726
X0,67.7222,144.1127,-5.8273,10.3873,22.6591,25.8273,32.6759,0.8801,-0.1638,-0.0139,15.73,0.67,0.0548,0.0956,4.8963,0.4749,34.4086,256.264
X0,73.6667,134.4773,3.0718,10.4942,14.9345,16.9282,24.0276,0.897,-0.0391,-0.0113,15.75,0.454,0.12,0.0851,2.6898,0.6385,34.6667,270.158
X0,64.8,127.6627,-6.4836,10.8747,26.6791,26.4836,34.5138,1.0227,-0.2422,-0.0054,15.68,0.254,0.0586,0.0747,1.9658,1.0891,115.3488,264.488
X0,69.0222,135.3318,0.9091,10.4139,5.1158,19.0909,20.5351,1.4874,-0.1862,-0.0073,15.69,0.158,0.0461,0.1019,1.7173,0.9251,54.7009,264.272
X0,61.6444,129.0027,24.8282,10.3776,12.7836,15.1718,20.2521,0.9883,-0.0615,-0.0059,15.68,0.236,0.0586,0.0785,2.1787,0.6641,64.6809,266.69
X0,67.9889,143.1327,-7.87,10.537,17.7954,27.87,35.7993,0.8964,-0.2817,-0.0086,15.62,0.721,0.1205,0.0867,2.6611,0.8532,89.7959,264.272
X0,63.9222,133.5582,1.1591,10.3024,14.6254,18.8409,26.7301,0.882,0.1022,-0.0099,15.82,0.093,0.0778,0.0994,3.415,0.9255,56.6372,248.124
X0,61.2556,129.4245,28.1191,10.1555,13.0754,11.8809,18.6476,0.9717,0.0624,-0.0049,15.74,0.264,0.06,0.0538,1.5086,0.4221,122.7621,259.98
X0,68.7,129.7236,2.2518,10.6128,13.6936,17.7482,24.5136,0.8885,-0.0047,-0.0111,15.9,0.117,0.0384,0.0924,1.9646,0.9588,57.7227,252.686
X0,69.3333,131.9909,0.8764,10.5981,18.5282,19.1236,27.1747,0.8912,0.0022,-0.011,15.93,0.164,0.0476,0.0639,4.84,0.3963,60.1367,268.764
X0,65.5889,121.3927,10.7709,10.9719,24.1964,29.2291,35.7866,0.9964,0.1393,-0.0101,15.85,0.23,0.0566,0.0942,3.7608,0.9059,43.4568,269.264
X0,67.7778,126.7427,7.71,10.6655,4.8598,12.29,13.2099,1.4518,-0.0834,-0.0114,15.73,0.459,0.0461,0.0318,1.9256,0.4443,29.7268,264.272
X0,62.6556,153.8936,8.6927,10.0772,22.3246,31.3073,42.1115,0.9984,0.3486,-0.006,15.83,0.087,0.0437,0.0366,1.5264,0.7898,85.5346,266.738
X0,73.0667,144.5391,-5.3264,10.4104,22.33,25.3264,36.1696,0.5633,0.1559,-0.0104,15.73,0.663,0.1218,0.0356,2.5024,0.6268,40.4332,264.272
X0,67.9444,140.8964,-6.0455,10.4929,18.1764,26.0455,33.9495,0.8862,0.2392,-0.0123,15.76,0.447,0.0981,0.0816,1.688,0.6161,30.1733,264.272
X0,68.5111,135.2745,-1.66,10.3706,14.3519,21.66,28.769,0.938,0.1201,-0.0099,15.7,0.469,0.075,0.0699,0.8945,0.8859,49.4325,276.606
X0,69.5444,128.3836,3.8264,10.5781,13.4554,16.1736,22.997,0.9543,0.1038,-0.0115,15.78,0.429,0.0324,0.0924,3.0328,1.1255,27.8867,265.922
X0,72.1111,145.0118,-2.5418,10.3809,15.2091,22.5418,30.2702,0.7924,0.1053,-0.0107,15.47,0.406,0.0861,0.1104,1.6937,0.5967,67.907,269.968
X0,67.2556,138.9218,-2.5727,10.5095,12.8363,22.5727,28.7966,0.9352,0.0373,-0.0084,16.04,0.218,0.0627,0.0688,1.5745,0.7681,47.7612,264.272
X0,70.2222,137.3291,-2.6655,10.5644,12.7551,22.6655,28.1985,0.9145,-0.1386,-0.009,15.95,0.109,0.0304,0.0764,2.2718,0.5836,72.2222,252.85
X0,69.0222,135.3318,0.9091,10.4139,5.1158,19.0909,20.5351,1.4874,-0.1862,-0.0073,15.69,0.158,0.0461,0.1019,1.7173,0.9251,54.7009,264.272
X0,72.7778,135.8482,-1.1945,10.4436,12.1755,21.1945,25.8642,1.4027,-0.5084,-0.0106,15.7,0.328,0.0603,0.0861,2.7953,1.0631,40.423,266.852
X0,70.9778,143.2427,-2.1136,10.2773,14.8573,22.1136,29.2308,0.8486,0.0356,-0.0113,15.79,0.756,0.0749,0.0956,2.2209,0.7516,44.0529,264.272
